Unnamed: 0,Patient_ID,PREFIX,FIRST,MIDDLE,LAST,GENDER,BIRTHDATE,AGE,MARITAL,STATE,FIPS,PHONE_NO,DRIVERS,SUFFIX,RACE,DEATHDATE,HEALTHCARE_EXPENSES,INCOME,BIRTHPLACE,SSN,PASSPORT,ETHNICITY,HEALTHCARE_COVERAGE,Doctor_ID,Address,Cause of Operation
284,P00285,Mr.,Rebecca,Michael,Williams,F,03/24/1968,57,Married,MO,,2526848243,No,,Native American,,16513,34799,California,404-28-2689,P245038704,Black,1567,D00041,4202 HICKORY RD SAINT LOUIS MO 63123-3804 USA,Epidural Anesthesia
285,P00286,Ms.,Scott,Melissa,Rodriguez,M,06/05/1995,30,Widowed,MO,,8957207503,Yes,III,African American,,16336,47527,Kansas,692-70-9711,P840792098,Black,1491,D00035,4382 LAFAYETTE AVE SAINT LOUIS MO 63101-6505 USA,Electroconvulsive Therapy (ECT)
286,P00287,Mr.,Angela,Brendan,Brown,M,08/13/1961,64,Divorced,MO,,3564820323,No,Jr.,Native American,,12074,82486,Missouri,425-96-9551,P289289549,White,8388,D00015,3646 HICKORY RD SAINT LOUIS MO 63107-3395 USA,Total Knee Replacement
287,P00288,Mr.,John,Stephanie,Berg,F,09/17/1955,70,Married,MO,,1212733873,No,Jr.,Asian,,10195,71360,Texas,981-44-4696,P183078408,Asian,1164,D00050,2195 CARDINAL WAY APT 2501 SAINT LOUIS MO 63119-4587 USA,Colonoscopy
288,P00289,Mr.,Samuel,Brendan,Davis,F,12/25/1957,68,Divorced,MO,,2721643811,Yes,Jr.,African American,,17788,77598,Missouri,694-31-6685,P771832612,White,7899,D00046,2668 LINDENWOOD AVE SAINT LOUIS MO 63136-1577 USA,Electroconvulsive Therapy (ECT)
289,P00290,Mrs.,John,Paul,Perkins,M,01/08/1999,26,Divorced,MO,,7767666624,No,Sr.,African American,,7486,78234,Kansas,895-36-8524,P247738364,Other,3516,D00014,9185 PESTALOZZI ST SAINT LOUIS MO 63128-4381 USA,Colonoscopy
290,P00291,Dr.,John,Lynn,Williams,F,12/14/2003,22,Widowed,MO,,4887908094,No,Jr.,Hispanic,,12077,89897,Kansas,327-57-8107,P199269147,Hispanic or Latino,7949,D00041,9779 CHASE PARK LN SAINT LOUIS MO 63104-3041 USA,Epidural Anesthesia
291,P00292,Ms.,Benjamin,Brendan,Hopkins,M,10/23/1971,54,Single,MO,,3948711882,No,Jr.,African American,,14046,49245,Kansas,322-86-9042,P361134858,Hispanic or Latino,537,D00037,9454 LAFAYETTE AVE SAINT LOUIS MO 63121-4997 USA,Deep Brain Stimulation (DBS)
292,P00293,Ms.,John,Paul,Perkins,F,07/06/1968,57,Single,MO,,7252354620,Yes,III,Native American,,9988,78632,California,651-90-9666,P513313417,Black,7050,D00039,8012 CARDINAL WAY APT 2501 SAINT LOUIS MO 63102-2723 USA,Coronary Artery Bypass Grafting (CABG)
293,P00294,Mr.,Benjamin,Lynn,Hopkins,M,09/04/1986,39,Married,MO,,3877971760,No,,Hispanic,,19190,46964,Illinois,241-44-9828,P873598331,White,8061,D00014,8171 BROADWAY ST SAINT LOUIS MO 63113-4013 USA,Colonoscopy
294,P00295,Mr.,Benjamin,Stephanie,Hopkins,F,03/11/1961,64,Widowed,MO,,5925705287,No,,Native American,,7707,53027,Illinois,513-64-4256,P534014097,Other,3460,D00034,8330 LINDENWOOD AVE SAINT LOUIS MO 63134-1683 USA,CT-guided biopsy
295,P00296,Master,Sandra,Paul,Castro,F,08/06/1977,48,Widowed,MO,,8680438124,No,Sr.,Asian,,6943,44057,Kansas,304-93-8600,P983005851,Hispanic or Latino,9975,D00002,1812 BROADWAY ST SAINT LOUIS MO 63122-2163 USA,Total Knee Replacement
296,P00297,Ms.,Dawn,Stephanie,Cook,F,01/16/1982,43,Single,MO,,8562726482,No,,Asian,,10736,33733,California,194-33-1384,P230613359,Other,5879,D00025,3909 COVINGTON MANOR LN SAINT LOUIS MO 63114-6177 USA,CT-guided biopsy
297,P00298,Ms.,Rebecca,Leslie,Berg,F,09/19/1979,46,Married,MO,,5586583625,No,Sr.,Native American,,14358,61801,California,390-62-2965,P385514372,Asian,4344,D00028,3079 ARMINDA AVE SAINT LOUIS MO 63135-6007 USA,Pediatric Hernia Repair
298,P00299,Master,Sandra,Paul,Castro,M,09/19/1999,26,Divorced,MO,,3789765583,No,Jr.,Asian,,5297,75405,California,421-90-8523,P960279651,Black,63,D00034,8329 PINE ST SAINT LOUIS MO 63104-7480 USA,CT-guided biopsy
299,P00300,Ms.,Sandra,Leslie,Brown,M,09/05/1980,45,Married,MO,,5039250075,Yes,,Caucasian,,5686,65344,Missouri,724-60-2982,P381017507,White,9539,D00023,3523 MAPLE LN SAINT LOUIS MO 63116-8722 USA,Pediatric Hernia Repair
300,P00301,Master,Samuel,Melissa,Davis,F,05/26/1959,66,Single,MO,,8972614542,Yes,Sr.,Native American,,7666,88301,Missouri,500-53-4366,P282957848,Hispanic or Latino,7725,D00004,2060 CHASE PARK LN SAINT LOUIS MO 63105-2345 USA,CT-guided biopsy
301,P00302,Mr.,Kathryn,Rafael,Perkins,M,10/07/1966,59,Divorced,MO,,3655485775,Yes,III,Hispanic,,8221,52733,Texas,425-71-5945,P815578375,Other,5100,D00029,8395 MAPLE LN SAINT LOUIS MO 63111-4470 USA,Appendectomy
302,P00303,Mrs.,Rebecca,Justin,Cook,F,11/15/2001,24,Divorced,MO,,8375166544,Yes,,Caucasian,,14456,82499,California,422-83-2227,P214827047,Other,7537,D00031,358 LAFAYETTE AVE SAINT LOUIS MO 63107-4476 USA,Pediatric Hernia Repair
303,P00304,Mrs.,Samuel,Julian,Perkins,F,10/11/1980,45,Single,MO,,1427468960,Yes,Jr.,Hispanic,,7157,82327,Kansas,679-55-3024,P667168988,Other,6470,D00050,2481 CARDINAL WAY APT 2501 SAINT LOUIS MO 63134-6611 USA,Colonoscopy
304,P00305,Mrs.,John,Brendan,Wright,F,04/23/1982,43,Divorced,MO,,2712710967,No,,Caucasian,,9323,98261,Illinois,507-33-4262,P945629418,Other,7446,D00016,1287 MAPLE LN SAINT LOUIS MO 63123-6646 USA,Total Knee Replacement
305,P00306,Master,Angela,Paul,Davis,M,03/13/1998,27,Single,MO,,8274891629,Yes,,African American,,5399,66475,Kansas,480-98-4702,P844428501,Other,2247,D00040,1180 BROADWAY ST SAINT LOUIS MO 63126-7941 USA,CT-guided biopsy
306,P00307,Mr.,Kathryn,Paul,Berg,F,05/10/1951,74,Divorced,MO,,1873503186,No,Jr.,Hispanic,,13202,30095,Kansas,297-54-8418,P439500103,White,5463,D00042,7076 COVINGTON MANOR LN SAINT LOUIS MO 63132-4494 USA,Epidural Anesthesia
307,P00308,Dr.,Kathryn,Julian,Berg,F,04/13/2002,23,Widowed,MO,,5338113180,No,Jr.,Native American,,15338,96887,Kansas,354-16-3774,P596361807,White,7548,D00008,3260 CARDINAL WAY APT 2501 SAINT LOUIS MO 63139-8872 USA,Pediatric Hernia Repair
308,P00309,Master,Benjamin,Lynn,Davis,M,10/12/1971,54,Divorced,MO,,5061842114,Yes,,African American,,16924,86573,Missouri,744-17-8321,P757197139,White,6879,D00002,4222 HICKORY RD SAINT LOUIS MO 63137-8854 USA,Total Knee Replacement
309,P00310,Mrs.,Rebecca,Leslie,Cook,F,11/07/1972,53,Divorced,MO,,6248437874,Yes,,Native American,,13734,86420,Missouri,977-46-5553,P592369490,White,7815,D00047,1657 CARDINAL WAY APT 2501 SAINT LOUIS MO 63111-4272 USA,Deep Brain Stimulation (DBS)
310,P00311,Mr.,Rebecca,Lynn,Wright,M,01/13/2003,22,Divorced,MO,,1583583653,Yes,Sr.,Asian,,17206,64945,Illinois,301-45-3746,P364694417,Black,6513,D00035,5849 MAPLE LN SAINT LOUIS MO 63110-2217 USA,Electroconvulsive Therapy (ECT)
311,P00312,Dr.,Benjamin,Melissa,Williams,M,12/24/1977,48,Widowed,MO,,3467376006,No,Jr.,Caucasian,,19780,70167,California,122-58-8180,P596031820,Hispanic or Latino,7421,D00009,7247 LAFAYETTE AVE SAINT LOUIS MO 63104-7419 USA,Electroconvulsive Therapy (ECT)
312,P00313,Ms.,Dawn,Rafael,Williams,F,01/12/1992,33,Single,MO,,1412826878,Yes,III,African American,,6195,79718,Missouri,973-62-2484,P709754328,Asian,3506,D00045,5054 PESTALOZZI ST SAINT LOUIS MO 63127-4309 USA,Appendectomy
313,P00314,Mrs.,Rebecca,Justin,Brown,M,01/23/1991,34,Divorced,MO,,2662470109,No,Sr.,Native American,,19771,31371,Texas,895-12-6493,P846289148,Hispanic or Latino,4005,D00045,1567 PINE ST SAINT LOUIS MO 63120-8448 USA,Appendectomy
314,P00315,Mr.,Rebecca,Michael,Hopkins,F,05/24/1953,72,Widowed,MO,,8852939229,No,Sr.,Caucasian,,6247,57676,Illinois,500-45-3045,P375987565,Black,5352,D00011,8884 PESTALOZZI ST SAINT LOUIS MO 63127-4790 USA,Epidural Anesthesia
315,P00316,Dr.,Sandra,Leslie,Rodriguez,F,09/15/1987,38,Single,MO,,2798725450,Yes,Sr.,Hispanic,,15949,53760,Missouri,687-24-6001,P442435424,Other,6351,D00008,5766 CATALAN ST SAINT LOUIS MO 63111-3339 USA,Pediatric Hernia Repair
316,P00317,Ms.,Jennifer,Michael,Hopkins,F,11/15/1992,33,Divorced,MO,,5791527462,Yes,Sr.,Hispanic,,16236,38163,Kansas,252-55-9554,P308742405,Hispanic or Latino,6532,D00049,1009 COVINGTON MANOR LN SAINT LOUIS MO 63121-8386 USA,Coronary Artery Bypass Grafting (CABG)
317,P00318,Master,Kathryn,Lynn,Cook,M,01/22/1980,45,Divorced,MO,,4643128611,No,,Hispanic,,6890,79902,Kansas,714-17-1512,P490422868,Hispanic or Latino,9888,D00031,4469 MAPLE LN SAINT LOUIS MO 63139-1257 USA,Pediatric Hernia Repair
318,P00319,Mrs.,Sandra,Michael,Williams,M,10/20/2001,24,Single,MO,,3093616397,Yes,,Caucasian,,11608,48255,Missouri,124-75-4062,P156043565,Other,8410,D00043,6282 CATALAN ST SAINT LOUIS MO 63103-8782 USA,Total Knee Replacement
319,P00320,Master,Sandra,Michael,Cook,F,03/15/1981,44,Married,MO,,3015196257,Yes,Jr.,Native American,,7843,97579,California,195-84-6705,P719960109,Black,3374,D00041,3799 TORLINA DR SAINT LOUIS MO 63133-8229 USA,Epidural Anesthesia
320,P00321,Dr.,Scott,Brendan,Perkins,F,01/03/1986,39,Widowed,MO,,4073915148,No,III,Asian,,7003,79575,Illinois,947-70-5752,P950245814,Black,5082,D00034,6350 CATALAN ST SAINT LOUIS MO 63132-8183 USA,CT-guided biopsy
321,P00322,Ms.,Sandra,Justin,Hopkins,F,04/15/2002,23,Single,MO,,2784598225,No,III,Asian,,5771,89741,California,603-79-8548,P880740366,Hispanic or Latino,4457,D00023,2838 CATALAN ST SAINT LOUIS MO 63104-1529 USA,Pediatric Hernia Repair
322,P00323,Mr.,Scott,Melissa,Castro,F,04/10/1958,67,Single,MO,,9304617892,No,,Hispanic,,17767,41270,Missouri,371-24-2446,P286974929,Black,8697,D00028,1061 HICKORY RD SAINT LOUIS MO 63129-9154 USA,Pediatric Hernia Repair
323,P00324,Ms.,Sandra,Melissa,Rodriguez,F,05/16/1950,75,Widowed,MO,,5142663740,No,Jr.,Caucasian,,13772,50326,Texas,563-72-3773,P407250582,White,871,D00004,3331 COVINGTON MANOR LN SAINT LOUIS MO 63130-2049 USA,CT-guided biopsy
324,P00325,Mr.,Scott,Justin,Hopkins,M,04/19/1958,67,Widowed,MO,,7370311760,Yes,III,Asian,,11073,46429,California,934-88-6837,P595339221,White,8924,D00027,7565 LINDENWOOD AVE SAINT LOUIS MO 63140-6109 USA,Coronary Artery Bypass Grafting (CABG)
325,P00326,Ms.,Scott,Julian,Berg,F,02/02/1954,71,Single,MO,,2560148043,No,Sr.,Caucasian,,12776,53888,California,994-98-4001,P366606454,White,4309,D00025,7639 ARMINDA AVE SAINT LOUIS MO 63110-9717 USA,CT-guided biopsy
326,P00327,Mr.,Samuel,Julian,Cook,M,09/01/1984,41,Widowed,MO,,3213184332,No,,Asian,,12623,47074,Kansas,123-42-1827,P553782690,Black,7276,D00033,3881 ARMINDA AVE SAINT LOUIS MO 63123-9859 USA,Coronary Artery Bypass Grafting (CABG)
327,P00328,Ms.,John,Michael,Hopkins,M,06/01/1963,62,Married,MO,,1685987412,No,III,African American,,11062,38887,Texas,271-35-8493,P769616464,Asian,1791,D00038,2780 LAFAYETTE AVE SAINT LOUIS MO 63110-2808 USA,Excision of Skin Cancer
328,P00329,Mr.,Sandra,Melissa,Rodriguez,M,10/07/1988,37,Widowed,MO,,9124033080,Yes,,Caucasian,,16161,85148,Illinois,733-94-7970,P426771595,Asian,9559,D00027,4031 LAFAYETTE AVE SAINT LOUIS MO 63141-8452 USA,Coronary Artery Bypass Grafting (CABG)
329,P00330,Master,Rebecca,Justin,Rodriguez,F,12/27/1958,67,Divorced,MO,,4449941993,Yes,III,Asian,,6098,45707,Kansas,499-39-1941,P291577562,Hispanic or Latino,8379,D00007,1923 MAPLE LN SAINT LOUIS MO 63116-6256 USA,Coronary Artery Bypass Grafting (CABG)
330,P00331,Mr.,Scott,Michael,Castro,F,09/05/1986,39,Divorced,MO,,1475959223,No,,Hispanic,,16603,78684,Illinois,894-24-4963,P128658546,Black,385,D00041,5341 BROADWAY ST SAINT LOUIS MO 63139-9104 USA,Epidural Anesthesia
331,P00332,Mrs.,Samuel,Lynn,Perkins,M,06/21/1985,40,Single,MO,,1030883102,Yes,,Asian,,8800,72273,California,440-39-3024,P925609677,Black,8041,D00006,4654 BROADWAY ST SAINT LOUIS MO 63112-6178 USA,CT-guided biopsy
332,P00333,Mrs.,Samuel,Lynn,Brown,M,07/16/1977,48,Married,MO,,9431266118,No,Jr.,Hispanic,,18086,46407,Kansas,964-48-3114,P169052098,Asian,888,D00012,9737 ARMINDA AVE SAINT LOUIS MO 63113-1060 USA,Excision of Skin Cancer
333,P00334,Mrs.,Angela,Lynn,Cook,F,02/09/1963,62,Widowed,MO,,7531558777,Yes,III,Caucasian,,8875,59967,California,731-37-3762,P485980012,Asian,628,D00048,9643 PINE ST SAINT LOUIS MO 63110-5318 USA,Colonoscopy
334,P00335,Mr.,Dawn,Julian,Cook,F,02/11/1994,31,Married,MO,,7871742124,Yes,III,African American,,12751,48475,California,581-73-9946,P349212886,Other,1943,D00018,3453 CARDINAL WAY APT 2501 SAINT LOUIS MO 63105-8058 USA,Epidural Anesthesia
335,P00336,Mrs.,Samuel,Michael,Brown,F,07/17/1981,44,Single,MO,,6007124395,Yes,Sr.,Hispanic,,6430,41112,Illinois,152-69-6374,P306378741,Asian,6782,D00041,5682 MAPLE LN SAINT LOUIS MO 63123-5940 USA,Epidural Anesthesia
336,P00337,Ms.,Kathryn,Paul,Brown,M,06/14/1958,67,Widowed,MO,,8941365166,Yes,III,Native American,,10162,32426,Kansas,867-88-7843,P661379860,White,878,D00020,3920 MAPLE LN SAINT LOUIS MO 63112-3018 USA,Deep Brain Stimulation (DBS)
337,P00338,Dr.,Angela,Brendan,Davis,M,07/17/1954,71,Married,MO,,4749097268,No,,Native American,,9349,91447,California,997-23-4893,P177615221,Asian,2743,D00047,4603 TORLINA DR SAINT LOUIS MO 63141-3162 USA,Deep Brain Stimulation (DBS)
338,P00339,Mr.,John,Melissa,Berg,F,04/16/1981,44,Single,MO,,9892888719,No,III,Native American,,10596,81286,Kansas,480-12-8226,P238910468,Asian,6386,D00009,2249 ARMINDA AVE SAINT LOUIS MO 63130-7628 USA,Electroconvulsive Therapy (ECT)
339,P00340,Mr.,Kathryn,Lynn,Williams,M,07/19/1970,55,Married,MO,,9285336186,No,Sr.,Asian,,12588,36153,California,489-90-8499,P293455456,Hispanic or Latino,843,D00011,4027 LINDENWOOD AVE SAINT LOUIS MO 63123-2244 USA,Epidural Anesthesia
340,P00341,Ms.,Samuel,Rafael,Williams,M,03/05/1954,71,Widowed,MO,,1268954026,No,,Caucasian,,10024,97918,Missouri,330-57-7995,P962740877,Other,3996,D00030,7784 HICKORY RD SAINT LOUIS MO 63119-6354 USA,Epidural Anesthesia
341,P00342,Mrs.,Jennifer,Paul,Williams,F,07/21/1996,29,Single,MO,,6669616110,Yes,Sr.,Hispanic,,17156,74355,Kansas,477-31-8377,P829636372,White,8010,D00029,7285 CHASE PARK LN SAINT LOUIS MO 63132-1073 USA,Appendectomy
342,P00343,Dr.,Dawn,Lynn,Brown,F,09/15/1953,72,Widowed,MO,,9442426072,Yes,,Hispanic,,19669,48681,Missouri,913-23-5063,P650934258,Hispanic or Latino,5595,D00038,8258 CATALAN ST SAINT LOUIS MO 63117-7827 USA,Excision of Skin Cancer
343,P00344,Mr.,John,Paul,Berg,M,11/19/1986,39,Single,MO,,6769810786,No,Jr.,Hispanic,,18195,75441,Missouri,555-88-4999,P269451534,White,9979,D00005,3259 CARDINAL WAY APT 2501 SAINT LOUIS MO 63121-8100 USA,Epidural Anesthesia
344,P00345,Dr.,Sandra,Melissa,Rodriguez,M,06/25/1997,28,Single,MO,,3440041647,Yes,Sr.,Caucasian,,16873,31933,California,177-30-3745,P638078832,Asian,2131,D00042,5472 BROADWAY ST SAINT LOUIS MO 63109-4357 USA,Epidural Anesthesia
345,P00346,Mr.,John,Leslie,Perkins,M,02/17/2002,23,Married,MO,,5862891420,No,III,Native American,,13167,63187,Illinois,551-15-8133,P350414265,Hispanic or Latino,7093,D00019,5439 TORLINA DR SAINT LOUIS MO 63132-7428 USA,Electroconvulsive Therapy (ECT)
346,P00347,Mrs.,Samuel,Stephanie,Davis,F,01/22/1986,39,Married,MO,,8367536735,No,III,Hispanic,,12753,71960,California,688-48-7153,P637554983,Asian,5876,D00027,5477 ARMINDA AVE SAINT LOUIS MO 63112-5794 USA,Coronary Artery Bypass Grafting (CABG)
347,P00348,Mrs.,Jennifer,Lynn,Rodriguez,M,09/22/2004,21,Single,MO,,6003889861,Yes,,African American,,17971,57178,California,389-95-7371,P221630293,White,9803,D00029,4207 MAPLE LN SAINT LOUIS MO 63130-5392 USA,Appendectomy
348,P00349,Mr.,Sandra,Stephanie,Hopkins,M,08/12/1997,28,Divorced,MO,,8963507986,No,,Hispanic,,16015,74411,Texas,789-54-8979,P792734014,Hispanic or Latino,5210,D00048,8070 LINDENWOOD AVE SAINT LOUIS MO 63110-5992 USA,Colonoscopy
349,P00350,Ms.,Dawn,Brendan,Berg,F,05/15/1952,73,Widowed,MO,,2717502416,No,III,Native American,,7401,59845,Missouri,647-51-1379,P860588894,White,2009,D00014,1385 LINDENWOOD AVE SAINT LOUIS MO 63106-7875 USA,Colonoscopy
350,P00351,Ms.,Scott,Rafael,Cook,M,07/14/1969,56,Single,MO,,5438646821,Yes,III,African American,,6279,62425,California,288-74-3262,P436057927,White,1740,D00015,3991 TORLINA DR SAINT LOUIS MO 63126-6890 USA,Total Knee Replacement
351,P00352,Mrs.,Kathryn,Brendan,Rodriguez,M,09/16/1983,42,Divorced,MO,,2210879128,Yes,Jr.,Hispanic,,16632,81188,California,183-33-6677,P847112691,Asian,6830,D00013,3263 LAFAYETTE AVE SAINT LOUIS MO 63134-9862 USA,Excision of Skin Cancer
352,P00353,Ms.,Samuel,Julian,Cook,F,03/17/1997,28,Married,MO,,7274914673,No,Sr.,Native American,,14347,65385,Texas,110-58-8150,P937318208,Black,3577,D00027,3539 BROADWAY ST SAINT LOUIS MO 63136-6205 USA,Coronary Artery Bypass Grafting (CABG)
353,P00354,Ms.,Dawn,Justin,Perkins,M,02/18/1982,43,Divorced,MO,,5327465181,No,,Caucasian,,9766,47573,Kansas,844-11-5989,P632081854,Black,3244,D00030,6250 ARMINDA AVE SAINT LOUIS MO 63111-6498 USA,Epidural Anesthesia
354,P00355,Master,Benjamin,Julian,Williams,M,12/17/1993,32,Widowed,MO,,2083082841,No,Sr.,Caucasian,,12071,88604,California,487-73-9691,P853903002,Asian,7496,D00038,4825 HICKORY RD SAINT LOUIS MO 63119-3488 USA,Excision of Skin Cancer
355,P00356,Ms.,Kathryn,Brendan,Brown,M,01/10/1998,27,Married,MO,,3863167265,Yes,III,Caucasian,,16116,34821,Missouri,783-35-3758,P871066786,Black,6911,D00009,2593 MAPLE LN SAINT LOUIS MO 63140-3203 USA,Electroconvulsive Therapy (ECT)
356,P00357,Dr.,Benjamin,Brendan,Rodriguez,F,12/18/2001,24,Single,MO,,8664680360,No,Sr.,Hispanic,,5614,40916,California,456-79-8333,P732799907,Other,3905,D00035,3224 LINDENWOOD AVE SAINT LOUIS MO 63141-5743 USA,Electroconvulsive Therapy (ECT)
357,P00358,Ms.,Rebecca,Melissa,Davis,F,01/17/1993,32,Single,MO,,2097934280,No,Jr.,African American,,10676,41837,Texas,243-19-3687,P359462596,Asian,6778,D00009,7318 CATALAN ST SAINT LOUIS MO 63123-5931 USA,Electroconvulsive Therapy (ECT)
358,P00359,Ms.,Kathryn,Paul,Wright,M,09/18/1974,51,Married,MO,,4381689187,Yes,Sr.,African American,,15932,80113,Missouri,990-68-9902,P640420874,White,8808,D00039,7402 CHASE PARK LN SAINT LOUIS MO 63113-6660 USA,Coronary Artery Bypass Grafting (CABG)
359,P00360,Mr.,Benjamin,Rafael,Cook,M,03/23/1951,74,Single,MO,,2327741213,Yes,,African American,,12665,35785,Illinois,554-74-2330,P171772454,Other,5822,D00027,7926 HICKORY RD SAINT LOUIS MO 63115-3319 USA,Coronary Artery Bypass Grafting (CABG)
360,P00361,Dr.,Dawn,Michael,Cook,F,07/18/1965,60,Widowed,MO,,7754986958,No,Jr.,Hispanic,,9205,58377,Texas,626-79-6640,P873053162,Hispanic or Latino,9225,D00023,4156 HICKORY RD SAINT LOUIS MO 63132-4589 USA,Pediatric Hernia Repair
361,P00362,Master,Sandra,Julian,Rodriguez,F,05/18/2001,24,Divorced,MO,,6771185789,No,Jr.,Hispanic,,6031,85344,Texas,283-36-9865,P952452487,Hispanic or Latino,3609,D00040,711 LAFAYETTE AVE SAINT LOUIS MO 63111-3265 USA,CT-guided biopsy
362,P00363,Master,Kathryn,Leslie,Perkins,F,10/01/1985,40,Married,MO,,4846397393,No,Jr.,African American,,8343,59102,California,769-56-3252,P871484635,Hispanic or Latino,6945,D00035,9741 PINE ST SAINT LOUIS MO 63118-7033 USA,Electroconvulsive Therapy (ECT)
363,P00364,Ms.,John,Lynn,Brown,M,02/03/2001,24,Single,MO,,7874254930,Yes,Sr.,Native American,,5528,89778,Kansas,863-81-9576,P363266732,Other,8879,D00009,4882 CHASE PARK LN SAINT LOUIS MO 63114-7178 USA,Electroconvulsive Therapy (ECT)
364,P00365,Master,Jennifer,Stephanie,Davis,M,09/08/1978,47,Divorced,MO,,2601829644,Yes,Jr.,Caucasian,,6121,47573,Texas,779-10-6532,P172579245,Black,8446,D00017,9051 ARMINDA AVE SAINT LOUIS MO 63108-8201 USA,Colonoscopy
365,P00366,Master,Rebecca,Julian,Cook,F,12/24/1991,34,Widowed,MO,,5914136176,Yes,III,Asian,,19774,81007,California,427-47-9597,P120754632,White,6705,D00001,1576 BROADWAY ST SAINT LOUIS MO 63119-8313 USA,CT-guided biopsy
366,P00367,Ms.,Scott,Julian,Rodriguez,M,05/05/1997,28,Divorced,MO,,6900430246,No,III,Hispanic,,18055,64318,California,158-28-3162,P146137032,Black,1856,D00017,6722 MAPLE LN SAINT LOUIS MO 63122-6003 USA,Colonoscopy
367,P00368,Dr.,John,Stephanie,Berg,M,08/13/1953,72,Single,MO,,9053768715,No,Jr.,Native American,,11711,70418,Illinois,205-44-4923,P588506113,Asian,5613,D00030,1661 MAPLE LN SAINT LOUIS MO 63118-6412 USA,Epidural Anesthesia
368,P00369,Ms.,Benjamin,Michael,Brown,M,06/20/1987,38,Married,MO,,4710216770,No,,Caucasian,,16523,92743,Texas,296-15-5842,P450966704,Hispanic or Latino,3510,D00026,5875 ARMINDA AVE SAINT LOUIS MO 63108-7020 USA,Total Knee Replacement
369,P00370,Mrs.,Jennifer,Julian,Hopkins,M,09/01/1962,63,Widowed,MO,,6583004035,No,III,Asian,,17319,55836,Illinois,627-74-2631,P922948958,Black,2801,D00029,5489 CATALAN ST SAINT LOUIS MO 63129-9447 USA,Appendectomy
370,P00371,Ms.,Dawn,Rafael,Castro,F,09/08/1970,55,Single,MO,,5814756959,No,III,African American,,17328,86389,Missouri,875-54-4824,P100528568,White,5888,D00048,4765 PESTALOZZI ST SAINT LOUIS MO 63115-4768 USA,Colonoscopy
371,P00372,Master,Scott,Michael,Berg,F,10/09/1989,36,Divorced,MO,,2684582969,Yes,III,Caucasian,,5785,50833,California,864-48-2211,P449536551,Other,9089,D00026,1808 ARMINDA AVE SAINT LOUIS MO 63111-3036 USA,Total Knee Replacement
372,P00373,Mr.,John,Leslie,Wright,F,07/07/1956,69,Single,MO,,8152967121,Yes,Jr.,Caucasian,,9679,95835,Illinois,405-52-5680,P233466910,Black,7472,D00035,7551 ARMINDA AVE SAINT LOUIS MO 63105-3676 USA,Electroconvulsive Therapy (ECT)
373,P00374,Mrs.,Rebecca,Stephanie,Cook,F,08/09/1951,74,Widowed,MO,,1280899435,Yes,Sr.,Native American,,9082,91706,Kansas,117-66-4436,P380740047,White,2460,D00009,2283 HICKORY RD SAINT LOUIS MO 63129-2094 USA,Electroconvulsive Therapy (ECT)
374,P00375,Mr.,Samuel,Brendan,Williams,F,05/02/1972,53,Married,MO,,7463982032,Yes,Sr.,Caucasian,,14386,86127,Texas,916-81-2551,P994599908,White,808,D00028,7780 TORLINA DR SAINT LOUIS MO 63116-8456 USA,Pediatric Hernia Repair
375,P00376,Master,Sandra,Leslie,Cook,M,12/17/1965,60,Widowed,MO,,2548227551,Yes,Sr.,Caucasian,,11855,38807,Missouri,980-63-3339,P585957583,Asian,8978,D00017,5805 CATALAN ST SAINT LOUIS MO 63133-8116 USA,Colonoscopy
376,P00377,Dr.,Kathryn,Brendan,Perkins,F,02/14/1967,58,Widowed,MO,,4220827132,No,Jr.,Hispanic,,9958,45191,Texas,854-73-2654,P811359763,Hispanic or Latino,123,D00019,1124 TORLINA DR SAINT LOUIS MO 63136-4651 USA,Electroconvulsive Therapy (ECT)
377,P00378,Dr.,Dawn,Paul,Wright,F,08/12/1976,49,Widowed,MO,,1114353981,No,Jr.,Caucasian,,5084,78720,Illinois,932-41-1347,P260718871,Hispanic or Latino,4476,D00044,2050 LAFAYETTE AVE SAINT LOUIS MO 63120-1076 USA,Epidural Anesthesia
378,P00379,Mrs.,Kathryn,Brendan,Brown,F,01/18/1952,73,Married,MO,,8262838997,Yes,III,Asian,,19762,75804,Missouri,268-39-2464,P512680563,Asian,7634,D00042,9660 TORLINA DR SAINT LOUIS MO 63105-9172 USA,Epidural Anesthesia
379,P00380,Ms.,Rebecca,Paul,Brown,M,08/24/1967,58,Widowed,MO,,8971598562,No,,Asian,,11799,69813,Illinois,720-63-2831,P635750080,Asian,7175,D00025,8903 LINDENWOOD AVE SAINT LOUIS MO 63114-3064 USA,CT-guided biopsy
380,P00381,Master,John,Brendan,Wright,F,03/02/1972,53,Married,MO,,2710606402,No,Jr.,African American,,18660,54467,Illinois,117-84-6405,P870686997,White,3030,D00025,689 CATALAN ST SAINT LOUIS MO 63119-8244 USA,CT-guided biopsy
381,P00382,Ms.,Dawn,Melissa,Hopkins,M,10/14/1970,55,Widowed,MO,,2218235218,No,Sr.,Asian,,19735,46190,Illinois,923-31-8530,P801074082,Other,76,D00019,9155 CHASE PARK LN SAINT LOUIS MO 63127-2254 USA,Electroconvulsive Therapy (ECT)
